case_id,operation,repetition,value_ms,status,correctness
a10_r10,read_process_persist_ms,1,,pending,
a10_r10,read_process_persist_ms,2,,pending,
a10_r10,read_process_persist_ms,3,,pending,
a10_r10,read_process_persist_ms,4,,pending,
a10_r10,read_process_persist_ms,5,,pending,
a10_r10,visual_rebuild_ms,1,,pending,
a10_r10,visual_rebuild_ms,2,,pending,
a10_r10,visual_rebuild_ms,3,,pending,
a10_r10,visual_rebuild_ms,4,,pending,
a10_r10,visual_rebuild_ms,5,,pending,
a10_r10,export_ms,1,,pending,
a10_r10,export_ms,2,,pending,
a10_r10,export_ms,3,,pending,
a10_r10,export_ms,4,,pending,
a10_r10,export_ms,5,,pending,
a10_r10,total_ms,1,,pending,
a10_r10,total_ms,2,,pending,
a10_r10,total_ms,3,,pending,
a10_r10,total_ms,4,,pending,
a10_r10,total_ms,5,,pending,
a50_r20,read_process_persist_ms,1,,pending,
a50_r20,read_process_persist_ms,2,,pending,
a50_r20,read_process_persist_ms,3,,pending,
a50_r20,read_process_persist_ms,4,,pending,
a50_r20,read_process_persist_ms,5,,pending,
a50_r20,visual_rebuild_ms,1,,pending,
a50_r20,visual_rebuild_ms,2,,pending,
a50_r20,visual_rebuild_ms,3,,pending,
a50_r20,visual_rebuild_ms,4,,pending,
a50_r20,visual_rebuild_ms,5,,pending,
a50_r20,export_ms,1,,pending,
a50_r20,export_ms,2,,pending,
a50_r20,export_ms,3,,pending,
a50_r20,export_ms,4,,pending,
a50_r20,export_ms,5,,pending,
a50_r20,total_ms,1,,pending,
a50_r20,total_ms,2,,pending,
a50_r20,total_ms,3,,pending,
a50_r20,total_ms,4,,pending,
a50_r20,total_ms,5,,pending,
a100_r20,read_process_persist_ms,1,,pending,
a100_r20,read_process_persist_ms,2,,pending,
a100_r20,read_process_persist_ms,3,,pending,
a100_r20,read_process_persist_ms,4,,pending,
a100_r20,read_process_persist_ms,5,,pending,
a100_r20,visual_rebuild_ms,1,,pending,
a100_r20,visual_rebuild_ms,2,,pending,
a100_r20,visual_rebuild_ms,3,,pending,
a100_r20,visual_rebuild_ms,4,,pending,
a100_r20,visual_rebuild_ms,5,,pending,
a100_r20,export_ms,1,,pending,
a100_r20,export_ms,2,,pending,
a100_r20,export_ms,3,,pending,
a100_r20,export_ms,4,,pending,
a100_r20,export_ms,5,,pending,
a100_r20,total_ms,1,,pending,
a100_r20,total_ms,2,,pending,
a100_r20,total_ms,3,,pending,
a100_r20,total_ms,4,,pending,
a100_r20,total_ms,5,,pending,
a200_r20,read_process_persist_ms,1,,pending,
a200_r20,read_process_persist_ms,2,,pending,
a200_r20,read_process_persist_ms,3,,pending,
a200_r20,read_process_persist_ms,4,,pending,
a200_r20,read_process_persist_ms,5,,pending,
a200_r20,visual_rebuild_ms,1,,pending,
a200_r20,visual_rebuild_ms,2,,pending,
a200_r20,visual_rebuild_ms,3,,pending,
a200_r20,visual_rebuild_ms,4,,pending,
a200_r20,visual_rebuild_ms,5,,pending,
a200_r20,export_ms,1,,pending,
a200_r20,export_ms,2,,pending,
a200_r20,export_ms,3,,pending,
a200_r20,export_ms,4,,pending,
a200_r20,export_ms,5,,pending,
a200_r20,total_ms,1,,pending,
a200_r20,total_ms,2,,pending,
a200_r20,total_ms,3,,pending,
a200_r20,total_ms,4,,pending,
a200_r20,total_ms,5,,pending,
a1_r100,read_process_persist_ms,1,,pending,
a1_r100,read_process_persist_ms,2,,pending,
a1_r100,read_process_persist_ms,3,,pending,
a1_r100,read_process_persist_ms,4,,pending,
a1_r100,read_process_persist_ms,5,,pending,
a1_r100,visual_rebuild_ms,1,,pending,
a1_r100,visual_rebuild_ms,2,,pending,
a1_r100,visual_rebuild_ms,3,,pending,
a1_r100,visual_rebuild_ms,4,,pending,
a1_r100,visual_rebuild_ms,5,,pending,
a1_r100,export_ms,1,,pending,
a1_r100,export_ms,2,,pending,
a1_r100,export_ms,3,,pending,
a1_r100,export_ms,4,,pending,
a1_r100,export_ms,5,,pending,
a1_r100,total_ms,1,,pending,
a1_r100,total_ms,2,,pending,
a1_r100,total_ms,3,,pending,
a1_r100,total_ms,4,,pending,
a1_r100,total_ms,5,,pending,
