case_id,operation,values_ms,statuses,summary_status,median,q1,q3,iqr
a10_r10,read_process_persist_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a10_r10,visual_rebuild_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a10_r10,export_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a10_r10,total_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a50_r20,read_process_persist_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a50_r20,visual_rebuild_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a50_r20,export_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a50_r20,total_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a100_r20,read_process_persist_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a100_r20,visual_rebuild_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a100_r20,export_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a100_r20,total_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a200_r20,read_process_persist_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a200_r20,visual_rebuild_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a200_r20,export_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a200_r20,total_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a1_r100,read_process_persist_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a1_r100,visual_rebuild_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a1_r100,export_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
a1_r100,total_ms,"[null, null, null, null, null]","[""pending"", ""pending"", ""pending"", ""pending"", ""pending""]",incomplete,,,,
