case_id,operation,values_ms,statuses,summary_status,median,q1,q3,iqr
a10_r10,read_process_persist_ms,"[41.4852, 40.6052, 40.1946, 71.1122, 42.726400000000005]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,41.4852,40.6052,42.726400000000005,2.1212000000000018
a10_r10,visual_rebuild_ms,"[975.1363000000001, 933.6385000000001, 939.6517, 1208.4783, 1032.6298]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,975.1363000000001,939.6517,1032.6298,92.97809999999993
a10_r10,export_ms,"[48.8904, 49.1989, 50.615300000000005, 49.8404, 50.603100000000005]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,49.8404,49.1989,50.603100000000005,1.404200000000003
a10_r10,total_ms,"[1066.6259, 1024.8456, 1031.6863, 1330.7061, 1127.0334]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,1066.6259,1031.6863,1127.0334,95.34709999999995
a50_r20,read_process_persist_ms,"[48.134, 44.9375, 80.0768, 66.64450000000001, 48.7483]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,48.7483,48.134,66.64450000000001,18.510500000000008
a50_r20,visual_rebuild_ms,"[6115.971100000001, 5437.042, 5524.7421, 5997.4666, 6454.4595]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,5997.4666,5524.7421,6115.971100000001,591.2290000000003
a50_r20,export_ms,"[480.2808, 608.6783, 390.8476, 387.0677, 422.0473]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,422.0473,390.8476,480.2808,89.4332
a50_r20,total_ms,"[6655.9961, 6104.5311, 5998.1957, 6453.8208, 6928.1365000000005]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,6453.8208,6104.5311,6655.9961,551.4650000000001
a100_r20,read_process_persist_ms,"[59.9583, 80.6324, 83.0462, 70.893, 64.4017]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,70.893,64.4017,80.6324,16.2307
a100_r20,visual_rebuild_ms,"[14059.120700000001, 18577.684900000004, 18479.5646, 15575.6404, 13836.5737]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,15575.6404,14059.120700000001,18479.5646,4420.4439
a100_r20,export_ms,"[1141.0664000000002, 1609.6580000000001, 982.5209000000001, 854.9899, 860.7189000000001]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,982.5209000000001,860.7189000000001,1141.0664000000002,280.3475000000001
a100_r20,total_ms,"[15268.409000000001, 20276.677600000003, 19552.0134, 16507.4182, 14768.343700000001]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,16507.4182,15268.409000000001,19552.0134,4283.604399999998
a200_r20,read_process_persist_ms,"[112.89590000000001, 87.2557, 66.6343, 93.00540000000001, 72.3463]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,87.2557,72.3463,93.00540000000001,20.65910000000001
a200_r20,visual_rebuild_ms,"[35183.8975, 30362.0063, 25240.763899999998, 29948.2437, 26891.3916]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,29948.2437,26891.3916,30362.0063,3470.614700000002
a200_r20,export_ms,"[1725.9724, 1790.8768, 1983.4272, 1975.6000000000001, 1721.4622000000002]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,1790.8768,1725.9724,1975.6000000000001,249.62760000000003
a200_r20,total_ms,"[37031.784400000004, 32268.775, 27298.2063, 32033.695900000002, 28693.093100000002]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,32033.695900000002,28693.093100000002,32268.775,3575.6818999999996
a1_r100,read_process_persist_ms,"[52.2199, 68.20360000000001, 59.577200000000005, 45.9378, 40.913900000000005]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,52.2199,45.9378,59.577200000000005,13.639400000000002
a1_r100,visual_rebuild_ms,"[681.0933, 405.6132, 525.8995, 708.8604, 461.904]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,525.8995,461.904,681.0933,219.1893
a1_r100,export_ms,"[59.9388, 44.573, 45.9189, 51.111000000000004, 47.1911]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,47.1911,45.9189,51.111000000000004,5.1921000000000035
a1_r100,total_ms,"[794.7503, 519.7755000000001, 632.7592000000001, 808.3948, 551.8082]","[""completed"", ""completed"", ""completed"", ""completed"", ""completed""]",complete,632.7592000000001,551.8082,794.7503,242.94209999999998
